iter	Passed	Remaining
254	438	1280
255	439	1276
256	440	1273
257	441	1269
258	442	1266
259	443	1262
260	444	1259
261	446	1257
262	447	1254
263	448	1251
264	449	1247
265	451	1246
266	452	1243
267	453	1239
268	454	1235
269	455	1231
270	456	1227
271	457	1224
272	458	1220
273	459	1218
274	461	1217
275	462	1214
276	464	1211
277	465	1208
278	466	1205
279	467	1202
280	468	1199
281	470	1196
282	470	1193
283	471	1189
284	473	1188
285	475	1187
286	477	1186
287	479	1184
288	481	1183
289	482	1181
290	483	1178
291	485	1176
292	487	1176
293	491	1180
294	493	1179
295	495	1178
296	498	1179
297	501	1181
298	504	1183
299	506	1182
300	508	1181
301	510	1179
302	511	1177
303	513	1174
304	514	1171
305	515	1169
306	517	1167
307	519	1167
308	521	1166
309	523	1166
310	525	1163
311	526	1161
312	528	1159
313	529	1156
314	530	1154
315	534	1156
316	537	1157
317	539	1156
318	541	1154
319	542	1152
320	543	1150
321	545	1147
322	546	1146
323	549	1147
324	551	1145
325	553	1144
326	555	1142
327	556	1140
328	557	1137
329	558	1134
330	562	1136
331	564	1135
332	566	1134
333	567	1132
334	569	1130
335	570	1127
336	572	1125
337	573	1123
338	577	1125
339	579	1124
340	581	1123
341	582	1121
342	584	1118
343	585	1116
344	586	1114
345	588	1111
346	589	1109
347	591	1108
348	594	1108
349	595	1106
350	597	1104
351	598	1102
352	600	1100
353	601	1097
354	602	1095
355	606	1097
356	608	1096
357	610	1095
358	612	1093
359	613	1091
360	614	1088
361	616	1086
362	617	1083
363	620	1084
364	622	1083
365	624	1081
366	626	1080
367	627	1078
368	629	1076
369	630	1073
370	634	1075
371	637	1075
372	639	1074
373	640	1072
374	642	1071
375	643	1068
376	645	1066
377	646	1063
378	649	1064
379	652	1063
380	653	1061
381	655	1060
382	656	1058
383	658	1055
384	659	1053
385	660	1050
386	662	1049
387	665	1049
388	667	1047
389	668	1045
390	669	1043
391	670	1040
392	672	1038
393	673	1035
394	674	1032
395	675	1030
396	679	1031
397	680	1030
398	682	1027
399	683	1025
400	685	1023
401	686	1021
402	687	1018
403	688	1016
404	690	1013
405	693	1014
406	695	1012
407	696	1010
408	698	1008
409	699	1006
410	700	1003
411	701	1001
412	702	998
413	703	996
414	705	995
415	707	993
416	709	991
417	710	989
418	712	988
419	714	986
420	715	983
421	716	981
422	718	979
423	720	979
424	722	977
425	723	975
426	725	973
427	726	971
428	727	968
429	729	966
430	730	964
431	731	962
432	733	959
433	734	957
434	735	955
435	737	953
436	738	951
437	739	949
438	740	946
439	742	944
440	743	942
441	744	940
442	745	937
443	746	935
444	748	932
445	749	931
446	751	929
447	752	927
448	754	925
449	755	923
450	756	921
451	758	919
452	759	916
453	760	914
454	761	912
455	763	910
456	765	909
457	767	907
458	768	905
459	769	903
460	771	901
461	772	899
